     #Energy           s           p           d       tot  
     8.04841     0.01213     0.05049     0.01676     0.07938
     8.05841     0.01545     0.04994     0.01822     0.08361
     8.06841     0.01913     0.04853     0.01965     0.08731
     8.07841     0.02297     0.04671     0.02115     0.09083
     8.08841     0.02674     0.04482     0.02281     0.09437
     8.09841     0.03015     0.04297     0.02459     0.09771
     8.10841     0.03292     0.04117     0.02638     0.10047
     8.11841     0.03484     0.03947     0.02801     0.10232
     8.12841     0.03582     0.03799     0.02930     0.10311
     8.13841     0.03590     0.03694     0.03015     0.10299
     8.14841     0.03522     0.03654     0.03052     0.10228
     8.15841     0.03401     0.03688     0.03045     0.10134
     8.16841     0.03249     0.03788     0.03006     0.10043
     8.17841     0.03080     0.03936     0.02946     0.09962
     8.18841     0.02905     0.04105     0.02873     0.09883
     8.19841     0.02727     0.04277     0.02792     0.09796
     8.20841     0.02547     0.04436     0.02701     0.09684
     8.21841     0.02367     0.04570     0.02597     0.09534
     8.22841     0.02189     0.04668     0.02471     0.09328
     8.23841     0.02015     0.04721     0.02319     0.09055
     8.24841     0.01842     0.04724     0.02137     0.08703
     8.25841     0.01667     0.04685     0.01928     0.08280
     8.26841     0.01490     0.04623     0.01701     0.07814
     8.27841     0.01313     0.04562     0.01472     0.07347
     8.28841     0.01144     0.04529     0.01257     0.06930
     8.29841     0.00992     0.04551     0.01075     0.06618
     8.30841     0.00868     0.04654     0.00943     0.06465
     8.31841     0.00779     0.04863     0.00873     0.06516
     8.32841     0.00732     0.05188     0.00875     0.06796
     8.33841     0.00734     0.05620     0.00951     0.07305
     8.34841     0.00795     0.06115     0.01094     0.08004
     8.35841     0.00929     0.06599     0.01290     0.08818
     8.36841     0.01151     0.06979     0.01513     0.09643
     8.37841     0.01464     0.07169     0.01732     0.10365
     8.38841     0.01856     0.07116     0.01913     0.10885
     8.39841     0.02293     0.06823     0.02033     0.11149
     8.40841     0.02714     0.06347     0.02081     0.11142
