     #Energy           s           p           d       tot  
    -0.57059    -0.00000    -0.00000    -0.00002    -0.00002
    -0.56059    -0.00000    -0.00001    -0.00004    -0.00005
    -0.55059    -0.00000    -0.00002    -0.00009    -0.00010
    -0.54059    -0.00000    -0.00004    -0.00018    -0.00022
    -0.53059    -0.00000    -0.00007    -0.00035    -0.00042
    -0.52059    -0.00001    -0.00012    -0.00062    -0.00075
    -0.51059    -0.00001    -0.00021    -0.00103    -0.00124
    -0.50059    -0.00001    -0.00031    -0.00156    -0.00189
    -0.49059    -0.00002    -0.00044    -0.00220    -0.00266
    -0.48059    -0.00003    -0.00057    -0.00285    -0.00345
    -0.47059    -0.00003    -0.00069    -0.00343    -0.00414
    -0.46059    -0.00004    -0.00076    -0.00380    -0.00460
    -0.45059    -0.00004    -0.00078    -0.00392    -0.00473
    -0.44059    -0.00003    -0.00074    -0.00377    -0.00454
    -0.43059    -0.00003    -0.00066    -0.00346    -0.00414
    -0.42059    -0.00003    -0.00055    -0.00316    -0.00374
    -0.41059    -0.00002    -0.00046    -0.00311    -0.00360
    -0.40059    -0.00002    -0.00041    -0.00358    -0.00401
    -0.39059    -0.00002    -0.00043    -0.00477    -0.00521
    -0.38059    -0.00002    -0.00052    -0.00681    -0.00734
    -0.37059    -0.00002    -0.00068    -0.00963    -0.01033
    -0.36059    -0.00003    -0.00089    -0.01297    -0.01389
    -0.35059    -0.00004    -0.00113    -0.01634    -0.01751
    -0.34059    -0.00004    -0.00138    -0.01912    -0.02054
    -0.33059    -0.00005    -0.00161    -0.02077    -0.02243
    -0.32059    -0.00005    -0.00185    -0.02097    -0.02287
    -0.31059    -0.00005    -0.00210    -0.01976    -0.02192
    -0.30059    -0.00005    -0.00241    -0.01749    -0.01996
    -0.29059    -0.00005    -0.00278    -0.01470    -0.01754
    -0.28059    -0.00006    -0.00318    -0.01192    -0.01515
    -0.27059    -0.00006    -0.00353    -0.00949    -0.01308
    -0.26059    -0.00006    -0.00375    -0.00755    -0.01136
    -0.25059    -0.00006    -0.00376    -0.00604    -0.00985
    -0.24059    -0.00005    -0.00352    -0.00483    -0.00840
    -0.23059    -0.00004    -0.00307    -0.00379    -0.00690
    -0.22059    -0.00004    -0.00248    -0.00287    -0.00538
    -0.21059    -0.00003    -0.00185    -0.00207    -0.00394
    -0.20059    -0.00002    -0.00128    -0.00140    -0.00269
    -0.19059    -0.00001    -0.00082    -0.00088    -0.00171
    -0.18059    -0.00001    -0.00048    -0.00052    -0.00100
    -0.17059    -0.00000    -0.00026    -0.00028    -0.00055
    -0.16059    -0.00000    -0.00013    -0.00014    -0.00027
    -0.15059    -0.00000    -0.00006    -0.00007    -0.00013
