#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.10523    -23.123410  0.001  0.010  0.000  0.011
   0.07015    -23.123308  0.001  0.010  0.000  0.011
   0.03508    -23.123233  0.001  0.010  0.000  0.011
   0.00000    -23.123212  0.001  0.010  0.000  0.011
 
# Band-Index    7
   0.00000    -22.675825  0.000  0.008  0.000  0.008
   0.03508    -22.675894  0.000  0.008  0.000  0.008
   0.07015    -22.676092  0.000  0.008  0.000  0.008
   0.10523    -22.676365  0.000  0.008  0.000  0.008
   0.14030    -22.676637  0.000  0.008  0.000  0.008
   0.17538    -22.676835  0.000  0.008  0.000  0.008
   0.21045    -22.676915  0.000  0.008  0.000  0.008
   0.21045    -22.676915  0.000  0.008  0.000  0.008
   0.25095    -22.676964  0.000  0.008  0.000  0.008
   0.29145    -22.677097  0.000  0.008  0.000  0.008
   0.33196    -22.677211  0.000  0.008  0.000  0.008
   0.33196    -22.677211  0.000  0.008  0.000  0.008
   0.36667    -22.677264  0.000  0.008  0.000  0.008
   0.40139    -22.677170  0.000  0.008  0.000  0.008
   0.43610    -22.676912  0.000  0.008  0.000  0.008
   0.47082    -22.676558  0.000  0.008  0.000  0.008
   0.50553    -22.676194  0.000  0.008  0.000  0.008
   0.54025    -22.675919  0.000  0.008  0.000  0.008
   0.57496    -22.675825  0.000  0.008  0.000  0.008
 
# Band-Index    8
   0.57496    -22.291646  0.000  0.000  0.009  0.009
   0.54025    -22.291462  0.000  0.000  0.009  0.010
   0.50553    -22.290991  0.000  0.000  0.009  0.010
   0.47082    -22.290352  0.000  0.000  0.009  0.010
   0.43610    -22.289715  0.000  0.000  0.009  0.010
   0.40139    -22.289239  0.000  0.000  0.009  0.010
   0.36667    -22.289011  0.000  0.000  0.009  0.010
   0.33196    -22.289040  0.000  0.000  0.009  0.010
   0.33196    -22.289040  0.000  0.000  0.009  0.010
   0.29145    -22.288557  0.000  0.000  0.009  0.010
   0.25095    -22.288227  0.000  0.000  0.009  0.010
   0.21045    -22.288122  0.000  0.000  0.009  0.010
   0.21045    -22.288122  0.000  0.000  0.009  0.010
   0.17538    -22.288346  0.000  0.000  0.009  0.010
   0.14030    -22.288992  0.000  0.000  0.009  0.010
   0.10523    -22.289873  0.000  0.000  0.009  0.010
   0.07015    -22.290754  0.000  0.000  0.009  0.010
   0.03508    -22.291400  0.000  0.000  0.009  0.010
   0.00000    -22.291646  0.000  0.000  0.009  0.009
 
# Band-Index    9
   0.00000    -21.957054  0.000  0.000  0.000  0.001
   0.03508    -21.955916  0.000  0.000  0.000  0.001
   0.07015    -21.952711  0.000  0.000  0.000  0.001
   0.10523    -21.948066  0.000  0.000  0.000  0.000
   0.14030    -21.943065  0.000  0.000  0.000  0.000
   0.17538    -21.939133  0.000  0.000  0.000  0.000
   0.21045    -21.937634  0.000  0.000  0.000  0.000
   0.21045    -21.937634  0.000  0.000  0.000  0.000
   0.25095    -21.935722  0.000  0.000  0.000  0.000
   0.29145    -21.930684  0.000  0.000  0.000  0.000
   0.33196    -21.924870  0.000  0.000  0.000  0.000
   0.33196    -21.924870  0.000  0.000  0.000  0.000
   0.36667    -21.925477  0.000  0.000  0.000  0.000
   0.40139    -21.929293  0.000  0.000  0.000  0.000
   0.43610    -21.935878  0.000  0.000  0.000  0.000
   0.47082    -21.943609  0.000  0.000  0.000  0.001
   0.50553    -21.950594  0.000  0.000  0.000  0.001
   0.54025    -21.955366  0.000  0.000  0.000  0.001
   0.57496    -21.957054  0.000  0.000  0.000  0.001
 
# Band-Index   10
   0.57496    -21.674782  0.000  0.000  0.000  0.000
   0.54025    -21.682916  0.000  0.000  0.000  0.000
   0.50553    -21.702029  0.000  0.000  0.000  0.000
   0.47082    -21.724260  0.000  0.000  0.000  0.000
   0.43610    -21.744556  0.000  0.000  0.000  0.000
   0.40139    -21.760013  0.000  0.000  0.000  0.001
   0.36667    -21.769488  0.000  0.000  0.000  0.001
   0.33196    -21.773837  0.000  0.000  0.000  0.001
   0.33196    -21.773837  0.000  0.000  0.000  0.001
   0.29145    -21.749086  0.000  0.000  0.000  0.001
   0.25095    -21.718302  0.000  0.000  0.000  0.001
   0.21045    -21.695772  0.000  0.000  0.001  0.001
   0.21045    -21.695772  0.000  0.000  0.001  0.001
   0.17538    -21.691489  0.000  0.000  0.000  0.001
   0.14030    -21.681114  0.000  0.000  0.000  0.001
   0.10523    -21.673881  0.000  0.000  0.000  0.000
   0.07015    -21.673347  0.000  0.000  0.000  0.000
   0.03508    -21.674320  0.000  0.000  0.000  0.000
   0.00000    -21.674782  0.000  0.000  0.000  0.000
 
# Band-Index   11
   0.00000    -21.598505  0.000  0.000  0.000  0.000
   0.03508    -21.606324  0.000  0.000  0.000  0.000
   0.07015    -21.625020  0.000  0.000  0.000  0.001
   0.10523    -21.645018  0.000  0.000  0.000  0.001
   0.14030    -21.655687  0.000  0.000  0.000  0.001
   0.17538    -21.657323  0.000  0.000  0.000  0.000
