     #Energy           s           p           d       tot  
    -0.53059    -0.00086    -0.01258     0.00000    -0.01345
    -0.52059    -0.00154    -0.02247     0.00000    -0.02401
    -0.51059    -0.00254    -0.03704     0.00000    -0.03957
    -0.50059    -0.00386    -0.05638     0.00000    -0.06024
    -0.49059    -0.00543    -0.07926     0.00000    -0.08469
    -0.48059    -0.00705    -0.10291     0.00000    -0.10996
    -0.47059    -0.00845    -0.12339     0.00000    -0.13185
    -0.46059    -0.00936    -0.13671     0.00000    -0.14607
    -0.45059    -0.00958    -0.13990     0.00000    -0.14949
    -0.44059    -0.00908    -0.13265     0.00000    -0.14172
    -0.43059    -0.00798    -0.11695     0.00000    -0.12493
    -0.42059    -0.00657    -0.09703     0.00000    -0.10360
    -0.41059    -0.00518    -0.07808     0.00000    -0.08327
    -0.40059    -0.00413    -0.06493     0.00000    -0.06906
    -0.39059    -0.00362    -0.06110     0.00000    -0.06472
    -0.38059    -0.00374    -0.06824     0.00000    -0.07198
    -0.37059    -0.00445    -0.08580     0.00000    -0.09025
    -0.36059    -0.00558    -0.11099     0.00000    -0.11658
    -0.35059    -0.00689    -0.13921     0.00000    -0.14610
    -0.34059    -0.00806    -0.16489     0.00000    -0.17295
    -0.33059    -0.00884    -0.18296     0.00000    -0.19180
    -0.32059    -0.00905    -0.19036     0.00000    -0.19941
    -0.31059    -0.00870    -0.18698     0.00000    -0.19568
    -0.30059    -0.00790    -0.17543     0.00000    -0.18333
    -0.29059    -0.00689    -0.15973     0.00000    -0.16662
    -0.28059    -0.00585    -0.14358     0.00000    -0.14942
    -0.27059    -0.00492    -0.12896     0.00000    -0.13389
    -0.26059    -0.00415    -0.11590     0.00000    -0.12005
    -0.25059    -0.00350    -0.10314     0.00000    -0.10664
    -0.24059    -0.00291    -0.08941     0.00000    -0.09232
    -0.23059    -0.00235    -0.07422     0.00000    -0.07657
    -0.22059    -0.00182    -0.05824     0.00000    -0.06005
    -0.21059    -0.00132    -0.04280     0.00000    -0.04412
    -0.20059    -0.00090    -0.02928     0.00000    -0.03018
    -0.19059    -0.00057    -0.01860     0.00000    -0.01916
    -0.18059    -0.00033    -0.01093     0.00000    -0.01126
    -0.17059    -0.00018    -0.00594     0.00000    -0.00613
    -0.16059    -0.00009    -0.00299     0.00000    -0.00308
    -0.15059    -0.00004    -0.00139     0.00000    -0.00143
    -0.14059    -0.00002    -0.00059     0.00000    -0.00061
    -0.13059    -0.00001    -0.00024     0.00000    -0.00024
    -0.12059    -0.00000    -0.00009     0.00000    -0.00009
    -0.11059    -0.00000    -0.00003     0.00000    -0.00003
    -0.10059    -0.00000    -0.00001     0.00000    -0.00001
    -0.08959    -0.00000    -0.00000     0.00000    -0.00000
    -0.07959    -0.00000    -0.00000     0.00000    -0.00000
    -0.06959    -0.00000    -0.00000     0.00000    -0.00000
    -0.05959    -0.00000    -0.00000     0.00000    -0.00000
    -0.04959    -0.00000    -0.00000     0.00000    -0.00000
    -0.03959    -0.00000    -0.00000     0.00000    -0.00000
    -0.02959    -0.00000    -0.00000     0.00000    -0.00000
    -0.01959    -0.00000    -0.00000     0.00000    -0.00000
    -0.00959    -0.00000    -0.00000     0.00000    -0.00000
     0.00041    -0.00000    -0.00000     0.00000    -0.00000
     0.01041    -0.00000    -0.00000     0.00000    -0.00000
     0.02041    -0.00000    -0.00000     0.00000    -0.00000
     0.03041    -0.00000    -0.00000     0.00000    -0.00000
     0.04041    -0.00000    -0.00000     0.00000    -0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041    -0.00000    -0.00000     0.00000    -0.00000
     0.14041    -0.00000    -0.00000     0.00000    -0.00000
     0.15041    -0.00000    -0.00000     0.00000    -0.00000
     0.16041    -0.00000    -0.00000     0.00000    -0.00000
     0.17041    -0.00000    -0.00000     0.00000    -0.00000
     0.18041    -0.00000    -0.00000     0.00000    -0.00000
     0.19041    -0.00000    -0.00000     0.00000    -0.00000
     0.20041    -0.00000    -0.00000     0.00000    -0.00000
     0.21041    -0.00000    -0.00000     0.00000    -0.00000
     0.22041    -0.00000    -0.00000     0.00000    -0.00000
     0.23041    -0.00000    -0.00000     0.00000    -0.00000
     0.24041    -0.00000    -0.00000     0.00000    -0.00000
     0.25041    -0.00000    -0.00000     0.00000    -0.00000
     0.26041    -0.00000    -0.00000     0.00000    -0.00000
     0.27041    -0.00000    -0.00000     0.00000    -0.00000
     0.28041    -0.00000    -0.00001     0.00000    -0.00001
     0.29041    -0.00000    -0.00004     0.00000    -0.00004
     0.30041    -0.00001    -0.00011     0.00000    -0.00012
     0.31041    -0.00002    -0.00029     0.00000    -0.00031
     0.32041    -0.00005    -0.00072     0.00000    -0.00077
     0.33041    -0.00012    -0.00164     0.00000    -0.00176
     0.34041    -0.00026    -0.00346     0.00000    -0.00372
     0.35041    -0.00051    -0.00676     0.00000    -0.00726
     0.36041    -0.00091    -0.01218     0.00000    -0.01309
     0.37041    -0.00152    -0.02027     0.00000    -0.02179
     0.38041    -0.00233    -0.03117     0.00000    -0.03350
     0.39041    -0.00331    -0.04425     0.00000    -0.04756
     0.40041    -0.00434    -0.05801     0.00000    -0.06235
     0.41041    -0.00525    -0.07025     0.00000    -0.07551
     0.42041    -0.00587    -0.07853     0.00000    -0.08441
     0.43041    -0.00606    -0.08108     0.00000    -0.08714
     0.44041    -0.00578    -0.07730     0.00000    -0.08308
     0.45041    -0.00509    -0.06807     0.00000    -0.07316
     0.46041    -0.00414    -0.05534     0.00000    -0.05948
     0.47041    -0.00311    -0.04154     0.00000    -0.04465
     0.48041    -0.00215    -0.02880     0.00000    -0.03096
     0.49041    -0.00138    -0.01845     0.00000    -0.01982
