     #Energy           s           p           d       tot  
    -0.42059     0.00820     1.23681     0.00000     1.24500
    -0.41059     0.00817     1.23330     0.00000     1.24147
    -0.40059     0.00754     1.13906     0.00000     1.14660
    -0.39059     0.00646     0.98009     0.00000     0.98655
    -0.38059     0.00521     0.79865     0.00000     0.80386
    -0.37059     0.00408     0.64272     0.00000     0.64680
    -0.36059     0.00333     0.55693     0.00000     0.56026
    -0.35059     0.00314     0.57587     0.00000     0.57901
    -0.34059     0.00362     0.71978     0.00000     0.72340
    -0.33059     0.00475     0.99009     0.00000     0.99484
    -0.32059     0.00641     1.36510     0.00000     1.37151
    -0.31059     0.00834     1.79851     0.00000     1.80685
    -0.30059     0.01023     2.22460     0.00000     2.23483
    -0.29059     0.01175     2.57356     0.00000     2.58531
    -0.28059     0.01264     2.79146     0.00000     2.80409
    -0.27059     0.01281     2.85751     0.00000     2.87031
    -0.26059     0.01234     2.78755     0.00000     2.79989
    -0.25059     0.01144     2.62313     0.00000     2.63457
    -0.24059     0.01033     2.41022     0.00000     2.42056
    -0.23059     0.00919     2.18008     0.00000     2.18927
    -0.22059     0.00807     1.94373     0.00000     1.95180
    -0.21059     0.00695     1.69651     0.00000     1.70346
    -0.20059     0.00582     1.43317     0.00000     1.43899
    -0.19059     0.00467     1.15708     0.00000     1.16174
    -0.18059     0.00355     0.88307     0.00000     0.88662
    -0.17059     0.00253     0.63195     0.00000     0.63448
    -0.16059     0.00169     0.42167     0.00000     0.42336
    -0.15059     0.00105     0.26138     0.00000     0.26242
    -0.14059     0.00060     0.15017     0.00000     0.15077
    -0.13059     0.00032     0.07985     0.00000     0.08017
    -0.12059     0.00016     0.03926     0.00000     0.03942
    -0.11059     0.00007     0.01784     0.00000     0.01791
    -0.10059     0.00003     0.00749     0.00000     0.00752
    -0.08959     0.00001     0.00290     0.00000     0.00292
    -0.07959     0.00000     0.00104     0.00000     0.00104
    -0.06959     0.00000     0.00034     0.00000     0.00035
    -0.05959     0.00000     0.00011     0.00000     0.00011
    -0.04959     0.00000     0.00003     0.00000     0.00003
    -0.03959     0.00000     0.00001     0.00000     0.00001
    -0.02959     0.00000     0.00000     0.00000     0.00000
    -0.01959     0.00000     0.00000     0.00000     0.00000
    -0.00959     0.00000     0.00000     0.00000     0.00000
     0.00041     0.00000     0.00000     0.00000     0.00000
     0.01041     0.00000     0.00000     0.00000     0.00000
     0.02041     0.00000     0.00000     0.00000     0.00000
     0.03041     0.00000     0.00000     0.00000     0.00000
     0.04041     0.00000     0.00000     0.00000     0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041     0.00000     0.00000     0.00000     0.00000
     0.14041     0.00000     0.00000     0.00000     0.00000
     0.15041     0.00000     0.00000     0.00000     0.00000
     0.16041     0.00000     0.00000     0.00000     0.00000
     0.17041     0.00000     0.00000     0.00000     0.00000
     0.18041     0.00000     0.00000     0.00000     0.00000
     0.19041     0.00000     0.00000     0.00000     0.00000
     0.20041     0.00000     0.00000     0.00000     0.00000
     0.21041     0.00000     0.00000     0.00000     0.00000
     0.22041     0.00000     0.00000     0.00000     0.00000
     0.23041     0.00000     0.00000     0.00000     0.00000
     0.24041     0.00000     0.00000     0.00000     0.00000
     0.25041     0.00000     0.00001     0.00000     0.00001
     0.26041     0.00000     0.00003     0.00000     0.00003
     0.27041     0.00000     0.00009     0.00000     0.00009
     0.28041     0.00000     0.00030     0.00000     0.00030
     0.29041     0.00000     0.00090     0.00000     0.00091
     0.30041     0.00001     0.00253     0.00000     0.00254
     0.31041     0.00003     0.00653     0.00000     0.00656
     0.32041     0.00007     0.01558     0.00000     0.01565
     0.33041     0.00015     0.03432     0.00000     0.03446
     0.34041     0.00030     0.06980     0.00000     0.07011
     0.35041     0.00057     0.13112     0.00000     0.13169
     0.36041     0.00098     0.22745     0.00000     0.22844
     0.37041     0.00158     0.36438     0.00000     0.36595
     0.38041     0.00233     0.53899     0.00000     0.54132
     0.39041     0.00318     0.73629     0.00000     0.73947
     0.40041     0.00402     0.92881     0.00000     0.93282
     0.41041     0.00468     1.08200     0.00000     1.08667
     0.42041     0.00503     1.16396     0.00000     1.16899
     0.43041     0.00500     1.15634     0.00000     1.16134
     0.44041     0.00459     1.06082     0.00000     1.06541
     0.45041     0.00389     0.89873     0.00000     0.90261
     0.46041     0.00304     0.70309     0.00000     0.70612
     0.47041     0.00220     0.50794     0.00000     0.51013
     0.48041     0.00147     0.33889     0.00000     0.34035
     0.49041     0.00090     0.20878     0.00000     0.20969
     0.50041     0.00051     0.11878     0.00000     0.11930
     0.51041     0.00027     0.06240     0.00000     0.06267
     0.52041     0.00013     0.03028     0.00000     0.03041
     0.53041     0.00006     0.01356     0.00000     0.01362
     0.54041     0.00002     0.00561     0.00000     0.00564
     0.55041     0.00001     0.00214     0.00000     0.00215
     0.56041     0.00000     0.00076     0.00000     0.00076
     0.57041     0.00000     0.00025     0.00000     0.00025
     0.58041     0.00000     0.00008     0.00000     0.00008
     0.59041     0.00000     0.00005     0.00000     0.00005
     0.60041     0.00000     0.00011     0.00000     0.00011
     0.61041     0.00000     0.00035     0.00000     0.00035
     0.62041     0.00000     0.00103     0.00000     0.00103
     0.63041     0.00001     0.00284     0.00000     0.00285
     0.64041     0.00003     0.00724     0.00000     0.00727
     0.65041     0.00008     0.01704     0.00000     0.01712
     0.66041     0.00017     0.03702     0.00000     0.03720
     0.67041     0.00034     0.07432     0.00000     0.07467
     0.68041     0.00064     0.13783     0.00000     0.13847
     0.69041     0.00110     0.23620     0.00000     0.23730
     0.70041     0.00174     0.37428     0.00000     0.37602
     0.71041     0.00256     0.54886     0.00000     0.55142
     0.72041     0.00350     0.74622     0.00000     0.74972
     0.73041     0.00447     0.94336     0.00000     0.94782
     0.74041     0.00537     1.11459     0.00000     1.11995
     0.75041     0.00614     1.24101     0.00000     1.24715
     0.76041     0.00680     1.31946     0.00000     1.32627
     0.77041     0.00745     1.36453     0.00000     1.37198
     0.78041     0.00821     1.40284     0.00000     1.41105
     0.79041     0.00919     1.46053     0.00000     1.46972
     0.80041     0.01038     1.55143     0.00000     1.56181
     0.81041     0.01167     1.67046     0.00000     1.68213
     0.82041     0.01287     1.79495     0.00000     1.80782
     0.83041     0.01374     1.89319     0.00000     1.90693
     0.84041     0.01408     1.93484     0.00000     1.94892
     0.85041     0.01379     1.89865     0.00000     1.91244
     0.86041     0.01288     1.77896     0.00000     1.79184
     0.87041     0.01146     1.58673     0.00000     1.59819
     0.88041     0.00978     1.34755     0.00000     1.35733
     0.89041     0.00815     1.09933     0.00000     1.10749
     0.90041     0.00698     0.88534     0.00000     0.89232
     0.91141     0.00666     0.74800     0.00000     0.75466
     0.92141     0.00755     0.72156     0.00000     0.72911
     0.93141     0.00989     0.82499     0.00000     0.83488
     0.94141     0.01365     1.05520     0.00000     1.06886
     0.95141     0.01851     1.38216     0.00000     1.40067
