     #Energy           s           p           d       tot  
    -0.42059     0.00993     0.14098     0.00000     0.15091
    -0.41059     0.00989     0.14050     0.00000     0.15039
    -0.40059     0.00912     0.12955     0.00000     0.13867
    -0.39059     0.00779     0.11097     0.00000     0.11876
    -0.38059     0.00621     0.08926     0.00000     0.09547
    -0.37059     0.00473     0.06941     0.00000     0.07414
    -0.36059     0.00362     0.05581     0.00000     0.05943
    -0.35059     0.00308     0.05151     0.00000     0.05459
    -0.34059     0.00317     0.05803     0.00000     0.06120
    -0.33059     0.00388     0.07507     0.00000     0.07895
    -0.32059     0.00509     0.10056     0.00000     0.10564
    -0.31059     0.00656     0.13061     0.00000     0.13718
    -0.30059     0.00803     0.16013     0.00000     0.16817
    -0.29059     0.00921     0.18386     0.00000     0.19307
    -0.28059     0.00987     0.19790     0.00000     0.20777
    -0.27059     0.00991     0.20084     0.00000     0.21075
    -0.26059     0.00939     0.19400     0.00000     0.20339
    -0.25059     0.00848     0.18051     0.00000     0.18899
    -0.24059     0.00738     0.16388     0.00000     0.17126
    -0.23059     0.00627     0.14653     0.00000     0.15280
    -0.22059     0.00525     0.12932     0.00000     0.13457
    -0.21059     0.00432     0.11200     0.00000     0.11632
    -0.20059     0.00348     0.09409     0.00000     0.09758
    -0.19059     0.00272     0.07569     0.00000     0.07841
    -0.18059     0.00203     0.05764     0.00000     0.05967
    -0.17059     0.00143     0.04120     0.00000     0.04262
    -0.16059     0.00094     0.02747     0.00000     0.02841
    -0.15059     0.00058     0.01702     0.00000     0.01760
    -0.14059     0.00033     0.00978     0.00000     0.01011
    -0.13059     0.00018     0.00520     0.00000     0.00537
    -0.12059     0.00009     0.00256     0.00000     0.00264
    -0.11059     0.00004     0.00116     0.00000     0.00120
    -0.10059     0.00002     0.00049     0.00000     0.00050
    -0.08959     0.00001     0.00019     0.00000     0.00020
    -0.07959     0.00000     0.00007     0.00000     0.00007
    -0.06959     0.00000     0.00002     0.00000     0.00002
    -0.05959     0.00000     0.00001     0.00000     0.00001
    -0.04959     0.00000     0.00000     0.00000     0.00000
    -0.03959     0.00000     0.00000     0.00000     0.00000
    -0.02959     0.00000     0.00000     0.00000     0.00000
    -0.01959     0.00000     0.00000     0.00000     0.00000
    -0.00959     0.00000     0.00000     0.00000     0.00000
     0.00041     0.00000     0.00000     0.00000     0.00000
     0.01041     0.00000     0.00000     0.00000     0.00000
     0.02041     0.00000     0.00000     0.00000     0.00000
     0.03041     0.00000     0.00000     0.00000     0.00000
     0.04041     0.00000     0.00000     0.00000     0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041     0.00000     0.00000     0.00000     0.00000
     0.14041     0.00000     0.00000     0.00000     0.00000
     0.15041     0.00000     0.00000     0.00000     0.00000
     0.16041     0.00000     0.00000     0.00000     0.00000
     0.17041     0.00000     0.00000     0.00000     0.00000
     0.18041     0.00000     0.00000     0.00000     0.00000
     0.19041     0.00000     0.00000     0.00000     0.00000
     0.20041     0.00000     0.00000     0.00000     0.00000
     0.21041     0.00000     0.00000     0.00000     0.00000
     0.22041     0.00000     0.00000     0.00000     0.00000
     0.23041     0.00000     0.00000     0.00000     0.00000
     0.24041     0.00000     0.00000     0.00000     0.00000
     0.25041     0.00000     0.00000     0.00000     0.00000
     0.26041     0.00000     0.00000     0.00000     0.00000
     0.27041     0.00000     0.00001     0.00000     0.00001
     0.28041     0.00000     0.00002     0.00000     0.00002
     0.29041     0.00000     0.00006     0.00000     0.00007
     0.30041     0.00001     0.00018     0.00000     0.00019
     0.31041     0.00003     0.00046     0.00000     0.00050
     0.32041     0.00008     0.00111     0.00000     0.00119
     0.33041     0.00018     0.00244     0.00000     0.00262
     0.34041     0.00036     0.00496     0.00000     0.00532
     0.35041     0.00068     0.00932     0.00000     0.01000
     0.36041     0.00118     0.01617     0.00000     0.01735
     0.37041     0.00188     0.02590     0.00000     0.02779
     0.38041     0.00279     0.03832     0.00000     0.04111
     0.39041     0.00381     0.05235     0.00000     0.05616
     0.40041     0.00480     0.06604     0.00000     0.07084
     0.41041     0.00560     0.07693     0.00000     0.08253
     0.42041     0.00602     0.08276     0.00000     0.08878
     0.43041     0.00598     0.08222     0.00000     0.08820
     0.44041     0.00549     0.07542     0.00000     0.08091
     0.45041     0.00465     0.06390     0.00000     0.06855
     0.46041     0.00364     0.04999     0.00000     0.05363
     0.47041     0.00263     0.03612     0.00000     0.03874
     0.48041     0.00175     0.02409     0.00000     0.02584
     0.49041     0.00108     0.01485     0.00000     0.01592
     0.50041     0.00061     0.00845     0.00000     0.00906
     0.51041     0.00032     0.00444     0.00000     0.00476
     0.52041     0.00016     0.00215     0.00000     0.00231
     0.53041     0.00007     0.00096     0.00000     0.00103
     0.54041     0.00003     0.00040     0.00000     0.00043
     0.55041     0.00001     0.00015     0.00000     0.00016
     0.56041     0.00000     0.00005     0.00000     0.00006
     0.57041     0.00000     0.00002     0.00000     0.00002
     0.58041     0.00000     0.00001     0.00000     0.00001
     0.59041     0.00000     0.00000     0.00000     0.00000
     0.60041     0.00000     0.00001     0.00000     0.00001
     0.61041     0.00000     0.00002     0.00000     0.00002
     0.62041     0.00000     0.00007     0.00000     0.00007
     0.63041     0.00001     0.00020     0.00000     0.00020
     0.64041     0.00002     0.00050     0.00000     0.00052
     0.65041     0.00005     0.00117     0.00000     0.00122
     0.66041     0.00010     0.00254     0.00000     0.00264
     0.67041     0.00020     0.00511     0.00000     0.00531
     0.68041     0.00037     0.00948     0.00000     0.00985
     0.69041     0.00063     0.01625     0.00000     0.01688
     0.70041     0.00100     0.02578     0.00000     0.02678
     0.71041     0.00148     0.03787     0.00000     0.03935
     0.72041     0.00201     0.05164     0.00000     0.05365
     0.73041     0.00256     0.06561     0.00000     0.06817
     0.74041     0.00306     0.07818     0.00000     0.08124
     0.75041     0.00348     0.08828     0.00000     0.09175
     0.76041     0.00381     0.09589     0.00000     0.09970
     0.77041     0.00411     0.10217     0.00000     0.10629
     0.78041     0.00446     0.10897     0.00000     0.11343
     0.79041     0.00492     0.11777     0.00000     0.12269
     0.80041     0.00551     0.12900     0.00000     0.13451
     0.81041     0.00619     0.14157     0.00000     0.14776
     0.82041     0.00685     0.15323     0.00000     0.16008
     0.83041     0.00737     0.16130     0.00000     0.16867
     0.84041     0.00763     0.16342     0.00000     0.17105
     0.85041     0.00757     0.15862     0.00000     0.16619
     0.86041     0.00715     0.14673     0.00000     0.15388
     0.87041     0.00643     0.12939     0.00000     0.13582
     0.88041     0.00554     0.10903     0.00000     0.11457
     0.89041     0.00465     0.08902     0.00000     0.09367
     0.90041     0.00399     0.07309     0.00000     0.07708
     0.91141     0.00380     0.06494     0.00000     0.06874
     0.92141     0.00428     0.06767     0.00000     0.07195
     0.93141     0.00558     0.08310     0.00000     0.08868
     0.94141     0.00770     0.11095     0.00000     0.11865
     0.95141     0.01044     0.14827     0.00000     0.15871
     0.96141     0.01340     0.18906     0.00000     0.20246
     0.97141     0.01606     0.22568     0.00000     0.24174
     0.98141     0.01783     0.25015     0.00000     0.26799
     0.99141     0.01835     0.25681     0.00000     0.27517
     1.00141     0.01752     0.24446     0.00000     0.26198
     1.01141     0.01559     0.21657     0.00000     0.23216
     1.02141     0.01310     0.18038     0.00000     0.19347
     1.03141     0.01067     0.14470     0.00000     0.15537
     1.04141     0.00887     0.11701     0.00000     0.12589
     1.05141     0.00806     0.10218     0.00000     0.11025
     1.06141     0.00834     0.10164     0.00000     0.10998
     1.07141     0.00956     0.11384     0.00000     0.12341
     1.08141     0.01144     0.13519     0.00000     0.14663
     1.09141     0.01360     0.16109     0.00000     0.17468
     1.10141     0.01564     0.18691     0.00000     0.20255
     1.11141     0.01723     0.20808     0.00000     0.22531
     1.12141     0.01811     0.22107     0.00000     0.23918
     1.13141     0.01810     0.22328     0.00000     0.24138
     1.14141     0.01716     0.21369     0.00000     0.23085
     1.15141     0.01538     0.19306     0.00000     0.20844
     1.16141     0.01298     0.16396     0.00000     0.17694
     1.17141     0.01027     0.13052     0.00000     0.14080
     1.18141     0.00761     0.09701     0.00000     0.10461
     1.19141     0.00525     0.06714     0.00000     0.07239
     1.20141     0.00337     0.04318     0.00000     0.04655
     1.21141     0.00201     0.02577     0.00000     0.02778
     1.22141     0.00111     0.01425     0.00000     0.01536
     1.23141     0.00057     0.00729     0.00000     0.00786
     1.24141     0.00027     0.00345     0.00000     0.00372
     1.25141     0.00012     0.00151     0.00000     0.00163
     1.26141     0.00005     0.00061     0.00000     0.00066
     1.27141     0.00002     0.00023     0.00000     0.00025
     1.28141     0.00001     0.00008     0.00000     0.00009
     1.29141     0.00000     0.00004     0.00000     0.00004
     1.30141     0.00000     0.00004     0.00000     0.00005
     1.31141     0.00001     0.00010     0.00000     0.00011
     1.32141     0.00002     0.00025     0.00000     0.00027
     1.33141     0.00004     0.00058     0.00000     0.00062
     1.34141     0.00009     0.00123     0.00000     0.00132
     1.35141     0.00018     0.00241     0.00000     0.00259
     1.36141     0.00033     0.00435     0.00000     0.00468
     1.37141     0.00055     0.00727     0.00000     0.00782
     1.38141     0.00084     0.01122     0.00000     0.01206
     1.39141     0.00120     0.01600     0.00000     0.01719
     1.40141     0.00158     0.02106     0.00000     0.02264
     1.41141     0.00192     0.02562     0.00000     0.02754
     1.42141     0.00216     0.02883     0.00000     0.03099
     1.43141     0.00225     0.03007     0.00000     0.03232
     1.44141     0.00218     0.02924     0.00000     0.03142
     1.45141     0.00199     0.02684     0.00000     0.02882
     1.46141     0.00174     0.02390     0.00000     0.02564
     1.47141     0.00154     0.02171     0.00000     0.02325
     1.48141     0.00146     0.02142     0.00000     0.02288
     1.49141     0.00154     0.02373     0.00000     0.02527
     1.50141     0.00180     0.02860     0.00000     0.03040
     1.51141     0.00218     0.03522     0.00000     0.03740
     1.52141     0.00258     0.04212     0.00000     0.04470
     1.53141     0.00291     0.04757     0.00000     0.05047
     1.54141     0.00305     0.05008     0.00000     0.05313
     1.55141     0.00298     0.04888     0.00000     0.05186
     1.56141     0.00269     0.04413     0.00000     0.04682
     1.57141     0.00224     0.03682     0.00000     0.03907
     1.58141     0.00173     0.02840     0.00000     0.03013
     1.59141     0.00124     0.02027     0.00000     0.02151
     1.60141     0.00083     0.01348     0.00000     0.01430
     1.61141     0.00054     0.00858     0.00000     0.00911
     1.62141     0.00038     0.00573     0.00000     0.00611
     1.63141     0.00037     0.00497     0.00000     0.00533
     1.64141     0.00052     0.00635     0.00000     0.00687
     1.65141     0.00085     0.01012     0.00000     0.01097
     1.66141     0.00141     0.01655     0.00000     0.01796
     1.67141     0.00220     0.02575     0.00000     0.02795
     1.68141     0.00319     0.03729     0.00000     0.04048
     1.69141     0.00429     0.05009     0.00000     0.05438
     1.70141     0.00536     0.06246     0.00000     0.06782
     1.71141     0.00625     0.07263     0.00000     0.07887
     1.72141     0.00686     0.07941     0.00000     0.08627
     1.73141     0.00722     0.08287     0.00000     0.09009
     1.74141     0.00746     0.08453     0.00000     0.09199
     1.75141     0.00780     0.08690     0.00000     0.09470
     1.76141     0.00848     0.09250     0.00000     0.10098
     1.77141     0.00960     0.10302     0.00000     0.11262
     1.78141     0.01117     0.11861     0.00000     0.12978
