     #Energy           s           p           d       tot  
    -0.42059     0.00083     0.00182     0.00000     0.00265
    -0.41059     0.00083     0.00181     0.00000     0.00264
    -0.40059     0.00076     0.00167     0.00000     0.00243
    -0.39059     0.00065     0.00142     0.00000     0.00208
    -0.38059     0.00052     0.00114     0.00000     0.00165
    -0.37059     0.00039     0.00087     0.00000     0.00125
    -0.36059     0.00029     0.00066     0.00000     0.00095
    -0.35059     0.00023     0.00056     0.00000     0.00079
    -0.34059     0.00022     0.00058     0.00000     0.00080
    -0.33059     0.00026     0.00071     0.00000     0.00098
    -0.32059     0.00034     0.00093     0.00000     0.00128
    -0.31059     0.00045     0.00120     0.00000     0.00165
    -0.30059     0.00056     0.00147     0.00000     0.00203
    -0.29059     0.00065     0.00169     0.00000     0.00234
    -0.28059     0.00071     0.00181     0.00000     0.00252
    -0.27059     0.00073     0.00181     0.00000     0.00254
    -0.26059     0.00069     0.00172     0.00000     0.00241
    -0.25059     0.00063     0.00155     0.00000     0.00218
    -0.24059     0.00054     0.00135     0.00000     0.00189
    -0.23059     0.00045     0.00114     0.00000     0.00160
    -0.22059     0.00037     0.00095     0.00000     0.00132
    -0.21059     0.00029     0.00079     0.00000     0.00108
    -0.20059     0.00023     0.00063     0.00000     0.00086
    -0.19059     0.00017     0.00049     0.00000     0.00067
    -0.18059     0.00013     0.00037     0.00000     0.00049
    -0.17059     0.00009     0.00026     0.00000     0.00035
    -0.16059     0.00006     0.00017     0.00000     0.00023
    -0.15059     0.00004     0.00011     0.00000     0.00014
    -0.14059     0.00002     0.00006     0.00000     0.00008
    -0.13059     0.00001     0.00003     0.00000     0.00004
    -0.12059     0.00001     0.00002     0.00000     0.00002
    -0.11059     0.00000     0.00001     0.00000     0.00001
    -0.10059     0.00000     0.00000     0.00000     0.00000
    -0.08959     0.00000     0.00000     0.00000     0.00000
    -0.07959     0.00000     0.00000     0.00000     0.00000
    -0.06959     0.00000     0.00000     0.00000     0.00000
    -0.05959     0.00000     0.00000     0.00000     0.00000
    -0.04959     0.00000     0.00000     0.00000     0.00000
    -0.03959     0.00000     0.00000     0.00000     0.00000
    -0.02959     0.00000     0.00000     0.00000     0.00000
    -0.01959     0.00000     0.00000     0.00000     0.00000
    -0.00959     0.00000     0.00000     0.00000     0.00000
     0.00041     0.00000     0.00000     0.00000     0.00000
     0.01041     0.00000     0.00000     0.00000     0.00000
     0.02041     0.00000     0.00000     0.00000     0.00000
     0.03041     0.00000     0.00000     0.00000     0.00000
     0.04041     0.00000     0.00000     0.00000     0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041     0.00000     0.00000     0.00000     0.00000
     0.14041     0.00000     0.00000     0.00000     0.00000
     0.15041     0.00000     0.00000     0.00000     0.00000
     0.16041     0.00000     0.00000     0.00000     0.00000
     0.17041     0.00000     0.00000     0.00000     0.00000
     0.18041     0.00000     0.00000     0.00000     0.00000
     0.19041     0.00000     0.00000     0.00000     0.00000
     0.20041     0.00000     0.00000     0.00000     0.00000
     0.21041     0.00000     0.00000     0.00000     0.00000
     0.22041     0.00000     0.00000     0.00000     0.00000
     0.23041     0.00000     0.00000     0.00000     0.00000
     0.24041     0.00000     0.00000     0.00000     0.00000
     0.25041     0.00000     0.00000     0.00000     0.00000
     0.26041     0.00000     0.00000     0.00000     0.00000
     0.27041     0.00000     0.00000     0.00000     0.00000
     0.28041     0.00000     0.00000     0.00000     0.00000
     0.29041     0.00000     0.00000     0.00000     0.00000
     0.30041     0.00000     0.00000     0.00000     0.00000
     0.31041     0.00001     0.00001     0.00000     0.00001
     0.32041     0.00001     0.00001     0.00000     0.00003
     0.33041     0.00003     0.00003     0.00000     0.00006
     0.34041     0.00006     0.00006     0.00000     0.00012
     0.35041     0.00011     0.00011     0.00000     0.00022
     0.36041     0.00019     0.00019     0.00000     0.00038
     0.37041     0.00031     0.00030     0.00000     0.00061
     0.38041     0.00046     0.00044     0.00000     0.00090
     0.39041     0.00063     0.00061     0.00000     0.00124
     0.40041     0.00079     0.00077     0.00000     0.00156
     0.41041     0.00092     0.00089     0.00000     0.00182
