#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.10523    -23.132708  0.348  0.024  0.000  0.373
   0.07015    -23.132607  0.348  0.024  0.000  0.373
   0.03508    -23.132534  0.348  0.024  0.000  0.374
   0.00000    -23.132513  0.348  0.024  0.000  0.374
 
# Band-Index    7
   0.00000    -22.681308  0.357  0.020  0.000  0.378
   0.03508    -22.681375  0.357  0.020  0.000  0.378
   0.07015    -22.681569  0.357  0.020  0.000  0.378
   0.10523    -22.681836  0.357  0.020  0.000  0.377
   0.14030    -22.682103  0.356  0.020  0.000  0.377
   0.17538    -22.682297  0.354  0.020  0.000  0.377
   0.21045    -22.682377  0.354  0.020  0.000  0.377
   0.21045    -22.682377  0.354  0.020  0.000  0.377
   0.25095    -22.682423  0.354  0.020  0.000  0.377
   0.29145    -22.682551  0.354  0.020  0.000  0.375
   0.33196    -22.682660  0.354  0.020  0.000  0.376
   0.33196    -22.682660  0.354  0.020  0.000  0.376
   0.36667    -22.682714  0.354  0.020  0.000  0.375
   0.40139    -22.682624  0.354  0.020  0.000  0.376
   0.43610    -22.682372  0.355  0.020  0.000  0.376
   0.47082    -22.682026  0.356  0.020  0.000  0.376
   0.50553    -22.681669  0.356  0.020  0.000  0.378
   0.54025    -22.681400  0.357  0.020  0.000  0.378
   0.57496    -22.681308  0.357  0.020  0.000  0.378
 
# Band-Index    8
   0.57496    -22.299993  0.369  0.024  0.000  0.392
   0.54025    -22.299813  0.369  0.024  0.000  0.393
   0.50553    -22.299356  0.370  0.024  0.000  0.393
   0.47082    -22.298734  0.370  0.025  0.000  0.396
   0.43610    -22.298112  0.372  0.025  0.000  0.396
   0.40139    -22.297646  0.372  0.025  0.000  0.397
   0.36667    -22.297417  0.373  0.025  0.000  0.398
   0.33196    -22.297438  0.373  0.025  0.000  0.398
   0.33196    -22.297438  0.373  0.025  0.000  0.398
   0.29145    -22.296984  0.374  0.025  0.000  0.398
   0.25095    -22.296678  0.375  0.025  0.000  0.400
   0.21045    -22.296582  0.375  0.025  0.000  0.400
   0.21045    -22.296582  0.375  0.025  0.000  0.400
   0.17538    -22.296799  0.375  0.025  0.000  0.400
   0.14030    -22.297424  0.374  0.025  0.000  0.397
   0.10523    -22.298276  0.372  0.025  0.000  0.396
   0.07015    -22.299129  0.370  0.024  0.000  0.395
   0.03508    -22.299755  0.369  0.024  0.000  0.393
   0.00000    -22.299993  0.369  0.024  0.000  0.392
 
# Band-Index    9
   0.00000    -21.958691  0.014  0.000  0.000  0.014
   0.03508    -21.957538  0.013  0.000  0.000  0.014
   0.07015    -21.954290  0.013  0.000  0.000  0.013
   0.10523    -21.949576  0.011  0.000  0.000  0.013
   0.14030    -21.944492  0.009  0.000  0.000  0.010
   0.17538    -21.940488  0.008  0.000  0.000  0.009
   0.21045    -21.938959  0.007  0.000  0.000  0.009
   0.21045    -21.938959  0.007  0.000  0.000  0.009
   0.25095    -21.937061  0.009  0.000  0.000  0.009
   0.29145    -21.932061  0.009  0.000  0.000  0.010
   0.33196    -21.926297  0.010  0.000  0.000  0.011
   0.33196    -21.926297  0.010  0.000  0.000  0.011
   0.36667    -21.926857  0.011  0.000  0.000  0.011
   0.40139    -21.930689  0.012  0.000  0.000  0.013
   0.43610    -21.937339  0.013  0.000  0.000  0.014
   0.47082    -21.945143  0.014  0.000  0.000  0.015
   0.50553    -21.952185  0.015  0.000  0.000  0.015
   0.54025    -21.956992  0.013  0.000  0.000  0.014
   0.57496    -21.958691  0.014  0.000  0.000  0.014
 
# Band-Index   10
   0.57496    -21.675981  0.014  0.001  0.000  0.015
   0.54025    -21.684252  0.013  0.000  0.000  0.015
   0.50553    -21.703633  0.012  0.000  0.000  0.013
   0.47082    -21.726131  0.013  0.000  0.000  0.014
   0.43610    -21.746652  0.016  0.001  0.000  0.018
   0.40139    -21.762253  0.021  0.001  0.000  0.021
   0.36667    -21.771747  0.023  0.001  0.000  0.024
   0.33196    -21.775990  0.025  0.001  0.000  0.027
   0.33196    -21.775990  0.025  0.001  0.000  0.027
   0.29145    -21.751318  0.023  0.001  0.000  0.024
   0.25095    -21.720741  0.022  0.001  0.000  0.023
   0.21045    -21.698812  0.020  0.001  0.000  0.021
   0.21045    -21.698812  0.020  0.001  0.000  0.021
   0.17538    -21.694424  0.018  0.001  0.000  0.019
   0.14030    -21.683601  0.014  0.000  0.000  0.015
   0.10523    -21.675461  0.011  0.000  0.000  0.011
   0.07015    -21.674587  0.012  0.000  0.000  0.014
   0.03508    -21.675518  0.014  0.001  0.000  0.014
   0.00000    -21.675981  0.014  0.001  0.000  0.015
 
# Band-Index   11
   0.00000    -21.600445  0.009  0.000  0.000  0.010
   0.03508    -21.608343  0.011  0.000  0.000  0.013
   0.07015    -21.627163  0.016  0.000  0.000  0.016
   0.10523    -21.646983  0.019  0.000  0.000  0.021
   0.14030    -21.656875  0.019  0.000  0.000  0.021
   0.17538    -21.658153  0.016  0.000  0.000  0.017
   0.21045    -21.658032  0.016  0.000  0.000  0.017
   0.21045    -21.658032  0.016  0.000  0.000  0.017
   0.25095    -21.633447  0.015  0.000  0.000  0.016
   0.29145    -21.594190  0.014  0.000  0.000  0.015
   0.33196    -21.552590  0.014  0.000  0.000  0.014
   0.33196    -21.552590  0.014  0.000  0.000  0.014
   0.36667    -21.566281  0.015  0.000  0.000  0.015
   0.40139    -21.574566  0.016  0.000  0.000  0.017
   0.43610    -21.580189  0.018  0.000  0.000  0.019
   0.47082    -21.585307  0.017  0.000  0.000  0.017
   0.50553    -21.591104  0.015  0.000  0.000  0.017
   0.54025    -21.597272  0.012  0.000  0.000  0.013
   0.57496    -21.600445  0.009  0.000  0.000  0.010
 
# Band-Index   12
   0.57496    -21.330771  0.011  0.000  0.000  0.011
   0.54025    -21.320938  0.010  0.000  0.000  0.011
   0.50553    -21.296653  0.011  0.000  0.000  0.011
   0.47082    -21.276442  0.021  0.000  0.000  0.021
   0.43610    -21.271857  0.022  0.000  0.000  0.025
   0.40139    -21.274645  0.021  0.000  0.000  0.021
   0.36667    -21.281611  0.018  0.001  0.000  0.018
   0.33196    -21.295327  0.015  0.001  0.000  0.018
   0.33196    -21.295327  0.015  0.001  0.000  0.018
   0.29145    -21.279813  0.019  0.002  0.000  0.021
   0.25095    -21.272311  0.022  0.002  0.000  0.023
   0.21045    -21.270009  0.023  0.002  0.000  0.026
   0.21045    -21.270009  0.023  0.002  0.000  0.026
   0.17538    -21.268507  0.024  0.002  0.000  0.027
   0.14030    -21.264599  0.027  0.001  0.000  0.028
   0.10523    -21.260882  0.024  0.002  0.000  0.028
   0.07015    -21.283496  0.008  0.000  0.000  0.008
   0.03508    -21.317537  0.010  0.000  0.000  0.011
   0.00000    -21.330771  0.011  0.000  0.000  0.011
 
# Band-Index   13
   0.00000    -21.245721  0.039  0.001  0.000  0.040
   0.03508    -21.246952  0.038  0.001  0.000  0.039
   0.07015    -21.249429  0.036  0.001  0.000  0.036
   0.10523    -21.229075  0.012  0.000  0.000  0.013
   0.14030    -21.178767  0.007  0.000  0.000  0.008
   0.17538    -21.135709  0.005  0.000  0.000  0.005
   0.21045    -21.118608  0.005  0.001  0.000  0.005
   0.21045    -21.118608  0.005  0.001  0.000  0.005
   0.25095    -21.112255  0.007  0.001  0.000  0.010
   0.29145    -21.098858  0.013  0.000  0.000  0.013
   0.33196    -21.102571  0.013  0.000  0.000  0.015
   0.33196    -21.102571  0.013  0.000  0.000  0.015
   0.36667    -21.073829  0.014  0.000  0.000  0.016
   0.40139    -21.107169  0.003  0.002  0.000  0.006
   0.43610    -21.163692  0.006  0.000  0.000  0.007
   0.47082    -21.212167  0.015  0.001  0.000  0.017
   0.50553    -21.237310  0.033  0.002  0.000  0.033
   0.54025    -21.244277  0.038  0.001  0.000  0.039
   0.57496    -21.245721  0.039  0.001  0.000  0.040
 
# Band-Index   14
   0.57496    -21.019501  0.028  0.002  0.000  0.028
   0.54025    -21.024842  0.025  0.002  0.000  0.027
   0.50553    -21.037441  0.021  0.003  0.000  0.023
   0.47082    -21.050322  0.017  0.003  0.000  0.018
   0.43610    -21.058335  0.014  0.002  0.000  0.016
   0.40139    -21.061122  0.013  0.000  0.000  0.014
   0.36667    -21.051127  0.006  0.001  0.000  0.008
   0.33196    -21.021532  0.013  0.000  0.000  0.014
   0.33196    -21.021532  0.013  0.000  0.000  0.014
   0.29145    -21.006421  0.006  0.002  0.000  0.008
   0.25095    -20.992860  0.006  0.000  0.000  0.006
   0.21045    -20.990008  0.008  0.000  0.000  0.008
   0.21045    -20.990008  0.008  0.000  0.000  0.008
   0.17538    -21.004801  0.012  0.000  0.000  0.014
   0.14030    -21.016911  0.016  0.002  0.000  0.020
   0.10523    -21.020511  0.022  0.003  0.000  0.023
   0.07015    -21.020642  0.025  0.002  0.000  0.026
   0.03508    -21.019888  0.027  0.002  0.000  0.028
   0.00000    -21.019501  0.028  0.002  0.000  0.028
 
# Band-Index   15
   0.00000    -20.721721  0.027  0.001  0.000  0.027
   0.03508    -20.728158  0.023  0.001  0.000  0.024
   0.07015    -20.755323  0.015  0.001  0.000  0.017
   0.10523    -20.797964  0.016  0.001  0.000  0.018
   0.14030    -20.846440  0.019  0.000  0.000  0.019
   0.17538    -20.896207  0.021  0.000  0.000  0.022
   0.21045    -20.926189  0.026  0.000  0.000  0.027
   0.21045    -20.926189  0.026  0.000  0.000  0.027
   0.25095    -20.938629  0.023  0.000  0.000  0.023
   0.29145    -20.961486  0.015  0.002  0.000  0.016
   0.33196    -20.971987  0.010  0.004  0.000  0.013
   0.33196    -20.971987  0.010  0.004  0.000  0.013
   0.36667    -20.966880  0.012  0.003  0.000  0.014
   0.40139    -20.913902  0.017  0.001  0.000  0.017
